NEWID;AGE_REF;AGE2;BATHRMQ;BEDROOMQ;BLS_URBN;FAM_SIZE;INC_RANK;RENTEQVX;VEHQ
3642344;56;57;2;4;1;2;0.8527328;2500;3
3642354;32;29;1;2;1;3;0.7105338;;1
3642394;34;26;2;3;1;2;0.932415;2500;1
3642404;56;60;2;2;1;2;0.4341738;1650;4
3642424;53;;2;3;1;4;0.0457789;1200;2
3642434;76;73;2;4;1;3;0.1220947;2000;1
3642444;88;88;2;3;1;3;0.547028;900;2
3642454;70;72;4;5;1;2;0.9112829;3000;5
3642464;68;;1;1;1;1;0.3587861;;0
3642474;76;;1;2;1;3;0.5961398;1800;1
3642484;58;;2;3;1;2;0.8876616;2500;1
3642494;23;;1;2;1;1;0.0162762;;2
3642504;72;74;3;4;1;2;0.8394131;2500;3
3642524;88;88;;;1;2;0.0602098;1140;0
3642534;69;;1;2;1;1;0.3816638;;1
3642544;67;;1;3;1;3;0.0096208;600;1
3642564;57;57;3;4;1;2;0.246652;3000;5
3642584;68;;2;4;1;2;0.460522;2000;2
3642604;77;;2;3;1;1;0.0654572;1600;1
3642614;48;48;3;5;1;3;0.9366459;3500;5
3642694;53;;1;1;2;1;0.4472034;;1
3642714;34;35;2;4;1;2;0.9436021;2000;3
3642724;70;69;3;3;1;2;0.5990282;3000;1
3642734;56;46;2;4;1;3;0.8392214;1500;4
3642764;33;30;3;3;1;5;0.6214275;;2
3642774;54;59;2;3;1;3;0.6540566;;1
3642784;37;35;1;2;1;3;0.8344887;1000;2
3642824;33;31;2;4;1;4;0.7308851;1300;3
3642884;38;31;1;1;1;4;0.3674728;1200;1
3642904;24;;2;3;1;1;0.3538535;;1
3642924;56;55;3;5;1;2;0.9931518;2500;5
3642944;82;;2;2;1;1;0.2575096;550;2
3642984;51;61;1;1;1;2;0.3061326;;2
3642994;57;62;1;3;1;3;0.6024322;600;2
3643004;63;56;2;3;1;2;0.2403062;;1
3643034;57;62;3;4;1;2;0.1358877;2200;5
3643044;58;58;4;4;1;2;0.6192222;3504;3
3643054;55;;2;3;1;2;0.7348491;500;3
3643074;64;60;3;4;1;2;0.0275448;1700;3
3643144;33;;2;2;1;4;0.7065807;;2
3643174;70;;1;2;1;2;0.3105513;;1
3643194;52;52;4;4;1;6;0.9918838;4000;2
3643214;42;;1;2;1;2;0.0747274;;0
3643234;46;44;3;4;1;5;0.782661;3000;2
3643254;57;53;2;3;1;2;0.9094739;1500;2
3643274;54;;1;2;1;3;0.3759955;;1
3643354;37;46;1;2;1;4;0.3701281;;2
3643364;25;;1;2;1;2;0.1788227;;1
3643374;54;47;3;3;1;4;0.7905275;1500;1
3643384;23;;2;3;1;2;0.1760235;;1
3643404;48;40;5;5;1;4;0.9995979;6442;3
3643454;26;;2;3;1;5;0.7800661;;3
3643534;25;;1;2;1;2;0.0892941;;1
3643554;56;57;2;4;1;2;0.9725996;3200;4
3643564;30;;1;3;1;2;0.6463696;1300;5
3643584;71;67;2;2;1;2;0.4997098;1000;2
3643594;57;;2;3;1;3;0.9077946;1200;2
3643624;35;32;2;3;1;7;0.5187012;1000;2
3643634;63;61;1;2;1;2;0.8756403;1597;4
3643644;68;69;1;3;1;2;0.5474477;1500;2
3643654;39;51;2;3;1;2;0.6759385;1000;3
3643674;53;;1;3;1;3;0.420861;800;1
3643714;30;;2;3;1;4;0.6676461;;0
3643734;65;;2;3;1;1;0.5524088;1200;1
3643744;69;;2;4;1;1;0.6738592;2000;1
3643764;70;70;2;4;1;2;0.7892699;1600;2
3643774;49;45;1;4;1;4;0.4995634;2479;3
3643804;35;30;1;2;1;3;0.9704002;1800;3
3643854;53;;1;2;1;1;0.3097064;725;1
3643884;73;72;1;1;1;2;0.0551585;;1
3643894;35;36;1;3;2;5;0.7721013;1000;4
3643904;69;65;1;2;1;2;0.7111243;618;4
3643914;67;;5;5;1;4;0.2605434;1500;3
3643924;59;;1;1;1;1;0.2444268;;0
3643934;32;;2;3;1;1;0.3657133;1200;1
3643944;50;54;2;4;1;3;0.0261851;6442;1
3643974;64;;1;4;1;2;0.5462793;500;1
3643994;58;;1;2;2;3;0.318341;;1
3644004;39;;2;3;1;5;0.3613526;;1
3644014;88;;1;1;1;1;0.0743984;;0
3644024;83;;1;1;1;1;0.2160128;;0
3644034;66;59;3;4;1;2;0.3212816;;3
3644084;73;75;2;3;1;2;0.4627491;1300;2
3644124;57;66;3;4;1;3;0.0239179;2500;4
3644134;60;61;2;2;2;2;0.0979012;900;3
3644184;25;23;2;2;1;3;0.7420949;;2
