NEWID;AGE_REF;AGE2;BATHRMQ;BEDROOMQ;BLS_URBN;FAM_SIZE;INC_RANK;RENTEQVX;VEHQ
3692573;50;;1;2;1;2;0.392238;;0
3692583;54;;3;3;1;2;0.6439772;1500;2
3692613;24;;1;2;1;5;0.1324559;;1
3692664;38;;2;3;2;3;0.6835346;;2
3692703;28;28;2;4;1;3;0.79497;1800;2
3692713;54;53;2;4;1;2;0.9035257;3000;2
3692733;54;;1;2;1;2;0.7822945;1800;2
3692743;53;65;2;2;1;2;0.8263637;1700;2
3692753;68;68;2;3;1;3;0.7451319;2000;2
3692763;30;28;1;3;1;3;0.8978139;2400;1
3692773;31;;1;2;1;2;0.5384196;;1
3692793;42;42;1;3;1;4;0.0311761;1500;1
3692813;66;60;2;3;1;2;0.6595618;2750;2
3692823;59;58;1;2;1;3;0.1678423;;0
3692843;64;50;3;4;1;3;0.6487228;2500;1
3692853;59;;1;2;1;1;0.1904492;;0
3692873;56;50;2;4;1;2;0.9097898;3000;12
3692883;27;;1;1;1;2;0.7494301;;2
3692903;36;33;2;3;1;2;0.7634031;1000;2
3692913;56;;2;3;1;1;0.399776;;5
3692933;83;;2;2;1;1;0.6143446;;1
3692943;26;;1;2;1;3;0.3729983;300;1
3692963;60;61;1;3;1;2;0.7725269;800;3
3692973;43;44;2;3;1;4;0.4538986;;2
3692983;36;;1;1;1;1;0.1700121;;1
3692993;55;52;1;3;1;2;0.6096843;1500;2
3693003;22;;2;2;1;1;0.0931026;;1
3693023;57;;2;2;1;1;0.4852039;;1
3693043;53;50;2;4;1;4;0.8911269;1400;2
3693063;40;;2;2;1;2;0.9610386;4000;3
3693083;88;;1;0;1;1;0.3014406;;1
3693093;40;41;2;4;1;4;0.8665488;;4
3693133;79;82;1;3;1;2;0.564431;1500;2
3693143;69;67;2;3;1;2;0.4373139;600;2
3693193;39;;1;1;1;1;0.2558774;;1
3693213;61;65;1;2;2;2;0.603413;1426;3
3693223;71;69;4;3;1;2;0.1269819;6442;2
3693233;50;;2;3;1;3;0.7901653;1829;3
3693243;39;50;4;5;1;5;0.9872829;6442;3
3693273;52;;2;3;1;1;0.3171839;350;4
3693293;52;52;2;2;1;2;0.0475331;800;3
3693303;60;;1;1;1;1;0.5893768;1800;1
3693353;62;69;1;3;1;4;0.6465311;750;9
3693363;62;64;2;4;1;3;0.6733477;1900;2
3693373;60;58;2;3;1;2;0.8307206;1600;3
3693433;45;;2;3;1;1;0.4131129;1000;1
3693463;36;;1;1;1;1;0.7322297;;1
3693473;79;;1;3;2;1;0.2317193;514;1
3693503;20;;2;2;1;1;0.2773051;;1
3693513;30;31;2;4;1;3;0.7071556;2300;0
3693533;38;;2;3;1;2;0.5858195;;2
3693553;60;50;1;1;1;2;0.5239249;;1
3693563;81;;1;2;1;2;0.6067623;733;1
3693593;49;;1;1;1;1;0.7726845;;0
3693603;76;;1;1;1;1;0.2630281;;1
3693613;48;;1;2;1;2;0.5015423;;3
3693643;53;57;3;5;1;3;0.9331436;2600;3
3693654;51;;1;2;1;3;0.4965908;;1
3693683;36;31;2;3;1;4;0.8249599;1700;2
3693713;56;;2;4;1;1;0.8401337;;4
3693723;30;;2;3;1;4;0.4612782;;2
3693753;36;41;2;3;1;3;0.9062359;1500;2
3693763;31;;2;3;1;5;0.7152229;600;4
3693773;40;40;2;4;1;5;0.7476247;1400;3
3693783;54;;2;2;1;2;0.6936234;;1
3693793;46;44;1;2;1;5;0.5367582;;3
3693803;56;69;2;3;1;2;0.3023927;1000;2
3693893;42;;2;3;1;4;0.6958232;;1
3693903;49;43;2;4;2;5;0.0953656;700;2
3693983;58;39;2;4;1;2;0.8685976;2333;3
3693993;55;;1;2;1;1;0.3365675;;1
3694073;36;40;1;3;1;3;0.7635888;1500;2
3694093;61;;1;2;1;1;0.152409;400;2
3694103;82;;1;1;1;1;0.2733278;;0
3694113;30;;1;3;1;3;0.4975148;;2
3694123;44;;1;3;1;4;0.1529515;;1
3694133;34;;2;2;1;4;0.3236877;;1
3694153;35;;1;2;1;3;0.313021;;0
3694183;61;;2;3;1;1;0.4204921;;1
3694213;68;;1;2;1;1;0.2926963;500;1
3694223;32;32;1;2;1;6;0.6141634;;2
3694303;32;30;1;3;1;6;0.7301528;520;2
3694313;35;;1;2;1;2;0.4232776;961;1
3694373;36;;2;3;1;3;0.733249;1000;2
3694383;31;;1;3;1;2;0.7024068;1100;1
3694393;42;;1;2;1;2;0.3394675;;1
3694433;41;44;1;3;1;6;0.766245;1800;2
3694443;35;;0;1;1;1;0.2485601;;1
3694463;37;36;1;3;1;2;0.7524406;1000;2
3694473;28;41;2;2;1;4;0.1121715;;2
3694483;62;56;2;3;1;2;0.6089228;2001;2
3694503;32;;1;1;1;2;0.5927969;;1
3694533;69;67;2;4;1;2;0.5284456;2000;2
3694543;48;49;1;3;1;4;0.0703313;1200;2
3694583;40;;1;2;1;3;0.7222501;1887;3
3694643;56;58;4;3;1;3;0.0189494;2306;2
3694653;88;;3;4;1;2;0.6593863;2600;1
3694673;30;36;1;2;1;5;0.4493164;;0
3694683;67;65;1;3;1;3;0.4395489;1500;1
3694703;42;;1;3;2;2;0.3297298;688;2
3694733;36;34;2;4;1;4;0.9882269;1700;2
3694743;67;66;3;4;1;2;0.4434405;2500;2
3694783;68;59;2;2;2;2;0.154742;1200;5
3694803;80;;2;3;1;1;0.2908088;400;0
3694813;64;;1;3;1;1;0.6330922;1100;2
3694833;38;38;2;4;1;6;0.2346175;;0
3694853;71;74;3;3;2;2;0.1241657;816;1
3694883;54;55;1;4;1;3;0.9293557;1100;6
3694893;72;78;1;3;1;3;0.811268;;2
3694903;46;;1;1;1;1;0.9768649;;3
3694933;70;70;1;3;1;2;0.4998961;1700;2
3694973;33;;1;2;1;2;0.8175784;1600;2
3694993;62;57;3;4;1;2;0.5633726;1500;3
3695003;46;61;2;3;1;2;0.6862139;2800;2
3695013;74;82;1;3;1;2;0.3917581;1887;4
3695044;36;35;1;2;2;3;0.5037339;;1
3695063;45;36;2;2;2;2;0.1673832;;4
3695073;71;;2;4;1;3;0.56145;1200;5
3695093;67;68;2;2;1;2;0.4759034;1312;5
3695103;60;;1;2;1;1;0.2249905;1000;2
3695113;49;;3;4;1;1;0.9746567;2000;1
3695163;51;;1;3;1;3;0.3425326;;1
3695193;77;;4;4;1;1;0.4146328;2913;0
3695223;46;45;2;3;1;3;0.9008399;3200;1
3695233;62;62;2;5;1;8;0.3317122;2700;4
3695243;65;31;2;3;1;5;0.4750051;2200;2
3695263;51;58;2;3;1;2;0.2061603;800;2
3695273;50;;1;1;1;3;0.7748797;950;2
3695303;88;88;2;3;2;2;0.4123237;800;2
3695323;29;;3;4;1;6;0.7574598;1650;4
3695363;37;38;2;3;1;4;0.8133151;1500;2
3695373;70;;2;2;1;1;0.1909527;;0
3695393;42;;2;3;1;1;0.5831236;2300;1
3695413;68;63;1;2;1;2;0.247902;1783;3
3695423;63;;1;2;1;1;0.2491565;500;2
3695473;68;;1;2;1;1;0.4439156;;1
3695503;36;;3;2;1;3;0.054386;;1
3695513;65;;3;4;1;1;0.3327227;2000;2
3695593;88;;1;2;1;1;0.3775963;699;1
3695603;60;;3;3;1;1;0.0262021;;5
3695633;40;;2;3;1;2;0.4458777;;1
3695683;76;77;2;3;1;2;0.4522038;2000;3
3695703;75;79;2;4;1;2;0.1447254;1975;1
3695723;61;;2;3;1;2;0.7379505;;1
3695763;58;54;2;3;1;2;0.8696049;1200;5
3695773;64;;1;2;1;3;0.3227255;;1
3695783;37;36;2;2;1;5;0.3663251;;2
3695833;75;74;1;3;1;2;0.28145;;0
3695843;42;43;2;3;1;4;0.85577;2400;6
3695863;68;;1;1;1;1;0.1148148;;1
3695873;88;83;2;3;1;2;0.5166796;3000;4
3695913;77;72;1;3;1;2;0.6092852;700;1
3695923;25;;1;1;1;2;0.7734815;;2
3695933;46;37;1;2;1;3;0.5911115;;1
3695973;29;29;2;3;2;2;0.3392372;650;2
3696013;38;;2;4;1;3;0.6325595;850;1
3696033;77;;1;2;1;1;0.6567133;3200;1
3696043;54;41;1;4;1;5;0.6837562;1200;2
3696073;59;;3;2;2;2;0.5378941;500;4
3696093;69;;1;1;1;2;0.3652335;;2
3696113;35;38;2;3;1;3;0.7707284;;2
3696123;36;;1;1;1;1;0.5842521;;1
3696173;69;69;1;4;1;3;0.6963339;1768;2
3696183;20;;1;2;1;1;0.2279359;;1
3696193;67;;1;0;1;1;0.4460068;;1
3696233;23;;2;3;1;2;0.4325704;2400;2
3696243;47;48;2;4;1;5;0.9805442;2600;4
3696253;22;;1;1;1;1;0.2436031;;0
3696283;72;;2;3;1;3;0.1235175;1230;3
3696303;45;46;1;2;1;2;0.8796938;1600;2
3696323;36;;2;3;1;7;0.3561361;;2
3696333;79;88;1;3;1;2;0.4706278;900;1
3696403;88;;2;2;1;1;0.2425305;1000;1
3696413;57;58;2;4;1;2;0.5149071;2000;3
3696453;24;;1;1;1;1;0.666761;;0
3696483;46;51;4;5;1;4;0.9958779;3000;2
3696533;34;25;1;2;1;3;0.4155861;;2
3696553;33;33;2;3;2;3;0.7098128;2000;1
3696563;67;65;3;4;1;3;0.3661887;1541;2
3696573;74;;1;0;1;1;0.2017111;;0
3696593;65;;2;3;1;1;0.1933147;1976;0
3696613;70;69;4;5;1;2;0.2284062;2500;2
3696623;43;;1;1;1;1;0.2875162;;0
3696633;56;38;1;3;1;3;0.5585942;1000;1
3696643;19;;4;4;1;3;0.1412632;;1
3696663;43;;2;3;1;4;0.8470299;1400;2
3696683;47;43;3;4;1;4;0.8541765;1500;0
3696703;53;;1;1;1;2;0.8051641;;1
3696713;61;;1;3;1;1;0.0816414;600;1
3696733;36;;1;2;1;2;0.2860359;;1
3696773;66;;1;2;1;1;0.6883944;1000;0
3696793;33;33;2;3;1;4;0.7013962;1200;3
3696803;21;;1;1;1;1;0.2970665;;0
3696813;53;54;2;3;1;2;0.9369571;2000;2
3696863;29;;2;2;1;2;0.6988953;;3
3696873;72;79;2;2;1;2;0.1463902;2166;3
3696883;38;37;2;4;1;4;0.0056074;;2
3696893;22;;2;2;1;1;0.1142419;;1
3696953;34;34;2;3;1;3;0.525084;1200;2
3696963;44;;1;2;1;3;0.4581098;;1
3696973;81;;1;3;1;2;0.3207048;600;1
3697003;36;;1;3;1;4;0.4132623;;1
3697013;22;22;2;3;1;2;0.4563836;850;3
3697044;26;;1;1;1;1;0.7970084;;1
3697063;66;71;3;4;1;2;0.4575084;3000;5
3697073;74;;1;2;1;1;0.3187351;600;2
3697113;56;73;1;1;2;2;0.480638;;1
3697123;50;45;2;3;1;5;0.712129;1100;3
3697133;53;;1;2;1;1;0.2215157;;1
3697153;74;;1;1;1;1;0.3842443;;0
3697173;46;;2;4;1;1;0.6170023;1800;2
3697193;62;58;1;3;1;3;0.3566035;850;3
3697213;22;;2;4;1;1;0.2337605;;0
3697223;23;;1;1;1;2;0.0641891;;2
3697233;49;49;2;4;1;4;0.1410288;1500;3
3697263;78;;1;2;1;1;0.1908574;800;5
3697273;29;;2;2;1;1;0.4443654;;1
3697283;64;64;1;2;1;2;0.4921701;1000;2
3697343;59;;1;3;1;1;0.5548042;1000;1
3697353;41;43;2;4;1;3;0.9255565;1243;1
3697363;54;;2;3;1;4;0.4839118;;1
3697413;53;;1;1;1;1;0.1731791;;2
3697433;28;;1;1;1;1;0.6931976;;1
3697453;29;;1;3;2;3;0.5799909;;1
3697483;48;51;2;2;1;4;0.9955254;;1
3697503;36;32;3;4;1;5;0.8710945;2800;2
3697513;34;29;1;2;1;2;0.1084173;;1
3697523;41;40;2;3;1;2;0.9140552;;2
3697553;38;38;1;4;1;5;0.7149599;1800;2
3697583;72;69;2;2;1;2;0.5201728;1500;2
3697603;60;57;2;2;1;2;0.5931469;3500;1
3697613;62;53;1;3;1;2;0.6359834;;2
3697623;57;59;2;5;1;3;0.7628692;1900;5
3697643;58;64;3;3;1;2;0.2708732;1000;4
3697663;64;;1;2;2;1;0.2342524;;1
3697673;56;62;2;4;1;4;0.9434644;1800;2
3697703;49;45;3;5;1;4;0.0330618;2500;2
3697783;88;;2;2;1;1;0.5694852;;1
3697793;27;;2;2;1;2;0.8337759;1400;2
3697803;45;48;1;3;1;3;0.9181452;1400;2
3697813;78;;2;2;1;2;0.6713495;2100;1
3697843;29;;1;3;1;3;0.5505323;;1
3697893;29;28;1;2;1;4;0.6538101;;1
3697903;52;49;1;3;1;3;0.1682094;1116;4
3698053;78;;1;3;1;1;0.3744037;2000;1
3698093;37;43;1;3;1;3;0.7030782;;2
3698143;32;;2;3;1;2;0.9137487;;1
3698163;88;;2;2;1;1;0.4831637;;1
3698183;74;;2;4;2;1;0.3317675;1200;2
3698223;88;72;2;2;1;2;0.4153057;400;6
3698233;46;40;2;4;1;5;0.9651417;6442;2
3698243;60;;1;1;1;1;0.1018492;;1
3698253;44;49;2;4;1;5;0.0351017;1200;2
3698263;73;;1;2;1;1;0.2369745;600;2
3698293;81;80;2;2;1;2;0.8682508;;2
3698303;88;78;2;2;1;2;0.4573615;400;1
3698313;42;;1;3;1;2;0.8679297;1800;2
3698323;69;;2;2;1;1;0.3291943;1800;0
3698333;53;52;2;4;1;4;0.5686945;1200;3
3698343;67;65;1;3;1;2;0.4515048;800;3
3698353;38;;2;3;1;4;0.483365;1150;2
3698363;24;;1;1;1;1;0.0511853;;1
3698373;45;;2;3;1;1;0.2241854;;1
3698383;55;45;2;3;1;2;0.8805176;2200;2
3698393;36;;1;1;1;1;0.6210446;;1
3698403;37;35;2;3;1;4;0.8095657;;2
3698423;58;67;2;3;1;3;0.6388586;1600;3
3698453;29;34;1;1;1;3;0.4094855;;1
3698483;53;47;1;3;1;3;0.7592745;1069;3
3698503;32;;1;2;1;2;0.4054251;;1
3698533;21;;1;2;1;1;0.1541993;;1
3698543;63;;1;2;1;1;0.2218307;;0
3698563;28;;2;2;1;3;0.0154252;;2
3698573;53;39;2;4;1;2;0.6799984;1700;2
3698623;75;;2;3;1;1;0.2607393;1100;1
3698633;70;;2;3;1;1;0.207492;1000;5
3698653;30;45;1;3;2;5;0.5809365;650;2
3698713;52;59;2;4;1;5;0.9315622;6442;3
3698733;39;37;2;2;1;3;0.8525956;;1
3698743;72;64;2;4;1;2;0.4763656;1400;2
3698763;48;46;1;3;1;3;0.5253273;1500;1
3698803;83;;2;4;1;1;0.4915549;3000;1
3698813;47;;1;1;1;1;0.2673149;;0
3698843;24;;1;1;1;2;0.486627;;1
3698853;30;;1;1;1;1;0.604048;;1
3698873;69;;1;2;1;1;0.5465585;1500;1
3698883;50;;3;3;1;2;0.7018363;;4
3698893;33;;2;3;2;2;0.0228434;832;2
3698903;55;56;2;3;1;5;0.5237377;;5
3698933;59;;1;3;1;1;0.5994501;1000;3
3698943;75;;1;3;1;1;0.9946587;1700;1
3698963;43;43;3;4;1;5;0.9027687;3000;2
3698973;45;39;1;3;1;4;0.802963;450;7
3698993;19;;;;2;1;0.0990999;;1
3699003;36;45;1;1;1;4;0.6818787;;1
3699033;63;;2;3;1;2;0.7560311;500;0
3699043;28;;1;2;1;1;0.4543348;;0
3699053;61;;2;3;2;6;0.2340992;500;0
3699063;60;60;2;4;1;7;0.9230368;2300;4
3699073;66;72;3;4;1;2;0.7828479;2000;3
3699113;73;75;2;3;1;3;0.4304191;2000;3
3699143;80;;2;2;1;1;0.5515013;2352;1
3699183;66;62;2;3;1;2;0.9109873;2400;3
3699233;74;;1;3;1;1;0.3569163;1500;3
3699253;68;68;3;4;1;2;0.4134693;2500;3
3699303;67;;1;1;1;1;0.1425264;;0
3699313;30;32;2;4;1;3;0.7833323;1100;3
3699323;88;;1;1;1;1;0.3838095;;1
3699333;39;38;2;3;1;4;0.3525257;;2
3699353;32;;1;3;1;5;0.1987909;;1
3699373;34;;1;3;1;1;0.617602;1200;1
3699383;62;;1;2;1;1;0.1068179;;1
3699403;79;63;1;4;2;2;0.3890817;515;3
3699493;44;44;2;3;1;4;0.7565572;1100;2
3699523;65;65;2;4;1;2;0.4315871;1885;2
3699533;60;54;2;3;1;3;0.7807196;1900;3
3699553;63;;1;2;1;1;0.1393564;;0
3699573;88;;2;2;1;1;0.3571553;1200;1
3699603;66;;2;3;1;2;0.2295048;1200;1
3699623;34;30;2;3;1;2;0.6791346;1500;2
3699664;69;;1;1;1;1;0.2008774;;0
3699673;36;;2;3;1;2;0.7921469;1900;2
3699683;51;49;2;4;1;3;0.9336222;2800;9
3699703;53;57;2;4;1;4;0.9683761;2400;3
3699713;88;;2;3;1;1;0.188465;;2
3699723;72;;1;1;1;1;0.3593175;;1
3699763;71;;1;2;1;1;0.2713164;;1
3699773;45;;1;2;1;2;0.3457303;;1
3699793;64;;1;3;1;6;0.167701;;2
3699823;72;;2;3;1;1;0.4769184;1463;1
3699843;53;;1;1;1;1;0.4362351;400;2
3699863;49;43;1;2;1;2;0.707642;1300;3
3699903;26;;1;2;1;1;0.6879871;;0
3699913;65;66;2;4;1;2;0.5509091;3000;3
3699953;51;54;2;3;2;3;0.7064046;700;3
3699963;88;83;2;3;1;2;0.5233146;2000;1
3699973;27;;2;2;1;3;0.1730224;;1
3699983;40;41;2;3;1;3;0.9439575;2000;2
3700013;49;43;2;4;1;5;0.9134494;1650;2
3700033;43;46;3;4;1;4;0.9322253;2917;4
3700043;54;;2;3;1;2;0.5402135;650;2
3700063;88;;2;3;1;1;0.5471525;;1
3700103;30;;1;2;1;2;0.1377824;;1
3700163;63;65;1;3;1;3;0.0092929;2390;0
3700203;42;48;2;4;1;4;0.8317782;1500;3
3700233;68;;1;3;2;1;0.1705664;450;1
3700273;33;;1;3;1;1;0.0650035;;3
3700283;88;88;2;2;1;2;0.2670214;1200;0
3700313;53;;1;1;1;1;0.3670526;;2
3700333;68;72;2;3;1;2;0.1326238;800;2
3700363;32;37;1;1;1;2;0.6887588;;2
3700373;46;47;2;3;2;3;0.9568402;700;7
3700393;48;;2;2;1;2;0.4296047;;1
3700423;74;71;3;4;1;2;0.7671878;3000;5
3700433;58;;1;1;1;1;0.1052579;;1
3700443;41;42;5;5;1;4;0.9791997;3000;4
3700453;59;77;1;1;1;2;0.51289;450;1
3700463;70;;1;1;1;1;0.3033731;;1
3700503;23;;1;2;1;3;0.6697885;;0
3700523;50;46;2;3;1;2;0.8073671;900;2
3700593;62;65;2;4;1;2;0.8321801;1200;1
3700603;45;;1;2;1;1;0.225599;;0
3700613;53;54;1;3;2;2;0.4591585;600;2
3700653;53;54;1;3;1;2;0.7667729;1250;7
3700693;50;;2;3;1;5;0.1971035;;1
3700713;60;44;2;3;1;2;0.9675507;3000;4
3700723;59;;1;1;1;1;0.2063265;;0
3700733;44;47;4;4;1;5;0.9056669;6442;2
3700743;66;;1;3;1;3;0.5662165;600;2
3700753;88;;2;4;1;1;0.309122;600;1
3700783;53;54;1;3;1;2;0.095157;3000;2
3700793;61;66;2;4;1;2;0.9617826;3500;5
3700803;40;28;1;2;1;6;0.2876338;;1
3700813;52;55;3;4;1;2;0.6701508;2000;2
3700833;45;49;2;6;1;4;0.9740014;2500;4
3700863;68;67;1;2;2;3;0.2398438;500;4
3700903;59;58;2;4;1;4;0.9886703;3500;4
3700923;22;;1;1;1;1;0.1568641;;1
3700983;48;;2;3;1;3;0.7769661;;1
3701003;48;;2;2;1;1;0.8821029;2300;1
3701013;52;50;1;4;1;2;0.8452707;1200;3
3701023;61;;2;4;1;3;0.9167916;2500;2
3701073;57;52;2;3;1;4;0.8246049;2513;1
3701093;76;81;2;3;1;3;0.3849815;1400;3
3701103;52;;2;2;1;2;0.5963067;;1
3701133;44;54;3;3;1;4;0.9226386;2000;2
3701143;32;30;1;2;1;2;0.8602036;;0
3701213;54;49;1;2;1;2;0.0808857;1000;2
3701293;53;55;2;3;1;2;0.736399;;2
3701313;61;;1;3;1;1;0.0759621;1100;0
3701323;59;61;3;3;1;2;0.9156328;2500;1
3701333;31;37;1;3;2;5;0.0637038;;2
3701353;49;;2;3;1;1;0.6495328;;2
3701363;65;62;3;3;1;2;0.8638033;3500;3
3701373;55;60;2;3;1;2;0.1248618;1200;2
3701383;51;50;3;4;1;2;0.6764502;700;3
3701393;68;69;1;3;2;3;0.0764996;565;1
3701443;53;55;3;3;1;2;0.8971825;3000;1
3701473;71;71;1;3;1;3;0.576293;700;7
3701513;67;;2;1;1;1;0.4960737;2500;1
3701533;62;63;2;4;1;2;0.6411002;1200;2
3701563;36;28;2;2;2;2;0.3229801;500;2
3701573;50;42;2;2;1;2;0.1380098;977;4
3701643;58;;1;1;1;1;0.202229;;0
3701673;53;59;1;1;1;2;0.463085;1700;1
3701693;23;;1;1;1;1;0.3795654;;1
3701713;65;;1;1;1;1;0.1936035;;0
3701723;35;35;2;3;1;4;0.7821194;2046;2
3701743;55;;1;3;1;1;0.1352311;1888;1
3701753;25;27;2;3;1;4;0.1855026;;1
3701763;83;;2;2;1;1;0.2702946;;0
3701773;20;;;;1;1;0.1714071;;0
3701783;67;;3;4;1;1;0.4504967;1000;1
3701793;60;60;2;4;1;2;0.8277531;1800;0
3701813;22;;2;2;1;1;0.1380872;;0
3701823;38;37;1;2;1;2;0.3385944;;0
3701853;68;;2;3;1;2;0.4199423;;3
3701893;61;47;2;3;1;5;0.3522976;;2
3701933;55;53;2;4;1;2;0.7599089;1200;4
3701943;23;;1;0;1;1;0.4468815;;0
3701954;27;;2;2;1;1;0.5917757;;1
3701973;60;;2;3;2;2;0.3773223;800;1
3701983;32;36;2;3;1;4;0.6575181;1200;3
3701993;58;;2;4;1;1;0.0600837;2000;3
3702003;30;;1;1;1;1;0.3582785;;0
3702043;46;;2;2;1;1;0.4149888;;3
3702063;66;;1;1;1;1;0.2816273;;0
3702093;32;34;2;3;1;5;0.7502736;;3
3702143;56;63;2;4;1;2;0.6111243;1400;3
3702183;31;28;2;3;1;4;0.7650337;1200;2
3702193;81;;1;2;1;1;0.3128523;600;0
3702233;34;;1;1;1;1;0.2000762;;1
3702243;37;36;2;4;1;4;0.9248895;1500;2
3702263;57;63;1;3;2;2;0.6240267;450;3
3702333;42;;2;2;1;2;0.3398479;;1
3702343;37;38;2;4;1;5;0.9121785;2500;2
3702353;55;;1;2;1;1;0.2446165;800;2
3702363;45;47;1;2;1;4;0.5772116;;2
3702403;88;;1;1;1;1;0.2698645;;1
3702423;74;;4;4;1;3;0.8293999;6442;0
3702453;72;79;2;2;1;2;0.3951666;350;2
3702483;50;;2;2;1;2;0.3512499;;2
3702543;30;;1;1;1;1;0.5909971;;1
3702583;59;;2;4;1;1;0.5732643;3000;9
3702593;50;50;2;3;1;2;0.7685341;2100;3
3702603;22;;2;3;1;2;0.3508334;;0
3702613;64;72;1;2;1;3;0.4143973;1932;1
3702623;36;;1;3;1;3;0.2961757;;1
3702673;23;;1;2;1;2;0.652381;;2
3702703;42;42;2;3;1;3;0.0468572;;2
3702713;34;22;1;3;1;3;0.7764744;;4
3712943;77;;0;2;1;1;0.2859234;1500;1
3712973;69;70;2;3;2;2;0.1085988;350;2
3712983;57;65;1;3;1;3;0.1659321;1000;0
3713033;57;56;1;3;1;3;0.4557629;450;3
3713063;59;;1;1;1;1;0.3899273;;0
3713073;31;;1;2;2;2;0.1601372;;0
3713083;63;;1;3;1;2;0.459622;700;1
3713093;53;56;2;4;1;3;0.6200173;3500;1
3713103;74;;1;1;1;2;0.3756754;500;6
3713123;72;;3;3;1;1;0.3112073;1200;1
3713133;78;74;2;3;1;2;0.2751429;;1
3713153;53;58;2;4;1;2;0.7166812;600;3
3713163;51;;2;4;1;5;0.8487177;1000;4
3713193;31;;1;2;1;2;0.5500306;;0
3713203;53;;0;1;1;1;0.2040432;;0
3713253;61;60;2;3;1;2;0.690407;500;2
3713263;23;;1;1;1;2;0.5881027;;0
3713273;60;;2;3;1;1;0.2076332;500;2
3713293;34;;2;2;1;4;0.8644628;;2
3713303;53;55;2;2;1;5;0.4478577;;3
3713343;52;;1;2;1;4;0.1098849;;1
3713363;46;;3;4;1;5;0.5708804;1500;2
3713383;88;;3;4;1;1;0.3450399;1200;1
3713393;27;28;2;3;1;4;0.6255489;1400;3
3713403;32;46;2;3;1;6;0.4084385;;2
3713413;27;;1;2;1;1;0.2997546;;1
3713423;71;67;2;2;2;2;0.1458543;1200;4
3713453;57;60;1;2;2;2;0.9704802;800;2
3713483;47;;1;2;1;1;0.0898201;;0
3713493;64;;2;3;1;3;0.7367363;2500;3
3713503;53;50;3;4;1;2;0.9912872;2000;5
3713513;60;;1;2;1;4;0.1797822;600;1
3713553;29;;2;3;1;1;0.5884118;1000;1
3713593;56;;3;3;1;1;0.8072096;3750;1
3713623;71;69;2;4;1;2;0.3573104;3079;3
3713683;62;60;1;2;1;2;0.4588304;600;2
3713693;59;58;3;4;1;2;0.9986115;2000;9
3713703;56;;2;2;1;1;0.7399279;2426;1
3713713;30;30;2;2;1;3;0.0141281;;1
3713743;67;69;2;3;1;3;0.1168468;956;2
3713753;45;;1;2;1;1;0.5188569;;0
3713783;51;;2;4;2;3;0.3453492;650;4
3713803;31;;1;1;1;2;0.5313074;;2
3713833;61;62;4;4;1;2;0.9063477;1897;3
3713863;51;;1;2;1;3;0.5385698;1656;0
3713873;45;;1;3;1;3;0.0729796;;2
3713913;47;41;2;3;2;2;0.2890553;500;1
3713923;38;37;2;4;1;4;0.7791613;2400;3
3713953;77;;1;1;1;1;0.2301384;;0
3713963;35;37;2;4;1;4;0.5246688;950;2
3713973;57;;2;3;2;1;0.4636301;;5
3713983;83;79;1;2;1;2;0.0077948;;0
3714003;44;40;2;3;1;4;0.0596464;700;1
3714013;45;;2;3;1;2;0.6445599;;1
3714143;57;56;1;3;2;2;0.1577525;300;1
3714153;62;61;2;6;2;5;0.0845629;300;1
3714163;48;;3;4;1;2;0.5863801;1200;2
3714173;74;;1;1;1;1;0.7038627;1200;1
3714183;46;49;2;3;2;3;0.5323277;800;6
3714213;72;64;2;2;1;2;0.1552419;1340;1
3714253;79;;3;4;1;1;0.3193048;1500;1
3714263;70;56;2;3;1;2;0.3409511;1;2
3714283;35;33;2;3;1;4;0.7491569;1200;2
3714303;69;;1;2;1;1;0.2155871;;1
3714343;30;;2;3;1;2;0.8368182;;2
3714353;76;;2;1;1;1;0.2462435;1500;2
3714363;52;;2;4;1;1;0.4011156;;2
3714383;59;;1;2;1;3;0.6599027;;0
3714393;26;;3;3;1;2;0.9700579;;0
3714423;58;59;4;4;1;4;0.9631248;3000;2
3714443;88;;2;2;1;1;0.4896766;1500;0
3714453;66;63;2;3;1;2;0.4898561;2000;2
3714463;43;56;2;3;1;5;0.1589351;;2
3714523;54;55;2;3;1;2;0.5302019;700;5
3714533;58;;1;3;1;6;0.4860526;1200;0
3714563;57;57;2;3;1;3;0.838465;1500;4
3714573;67;;1;2;1;1;0.1139588;963;0
3714593;71;;2;3;1;1;0.2839605;1600;1
3714613;35;34;2;3;1;3;0.81909;1200;2
3714653;54;62;2;3;2;5;0.6784112;;5
3714673;76;76;3;4;1;2;0.9632878;2817;2
3714693;66;83;2;2;1;2;0.3981595;2000;1
3714703;55;;1;3;1;1;0.7977614;1500;2
3714713;65;;1;1;1;1;0.1091434;;0
3714733;34;;1;1;1;1;0.4325081;;1
3714743;41;41;1;3;1;7;0.8149591;1800;2
3714803;54;;2;2;1;2;0.1219521;;1
3714843;26;;2;2;1;2;0.6535347;;1
3714853;68;;2;3;1;3;0.5393081;957;1
3714863;69;;1;3;2;1;0.2468792;500;4
3714873;38;47;3;4;1;2;0.8884138;1500;3
3714883;81;79;2;3;1;2;0.5373258;850;3
3714893;55;;1;3;1;1;0.4864396;1100;1
3714903;23;;1;1;1;1;0.3717778;;1
3714913;54;60;2;3;1;4;0.7028403;3600;3
3714953;54;;3;3;1;2;0.4276759;2500;3
